t_rel_s,sim_joint3_deg,real_joint3_deg
0.0000,-150.3084,-150.3100
0.0040,-150.3082,-150.3100
0.0080,-150.3085,-150.3100
0.0120,-150.3084,-150.3100
0.0160,-150.3085,-150.3100
0.0200,-150.3082,-150.3100
0.0240,-150.3085,-150.3100
0.0280,-150.3082,-150.3100
0.0320,-150.3085,-150.3100
0.0360,-150.3082,-150.3100
0.0400,-150.3085,-150.3100
0.0440,-150.3082,-150.3100
0.0480,-150.3085,-150.3100
0.0520,-150.3082,-150.3100
0.0560,-150.3085,-150.3100
0.0600,-150.3082,-150.3100
0.0640,-150.3085,-150.3100
0.0680,-150.3083,-150.3100
0.0720,-150.3085,-150.3100
0.0760,-150.3083,-150.3100
0.0800,-150.3085,-150.3100
0.0840,-150.3083,-150.3100
0.0880,-150.3085,-150.3100
0.0920,-150.3083,-150.3100
0.0960,-150.3085,-150.3100
0.1000,-150.3083,-150.3100
0.1040,-150.3085,-150.3100
0.1080,-150.3082,-150.3100
0.1120,-150.3085,-150.3100
0.1160,-150.3083,-150.3100
0.1200,-150.3085,-150.3100
0.1240,-150.3083,-150.3100
0.1280,-150.3086,-150.3100
0.1320,-150.3082,-150.3100
0.1360,-150.3085,-150.3100
0.1400,-150.3082,-150.3100
0.1440,-150.3085,-150.3100
0.1480,-150.3083,-150.3100
0.1520,-150.3085,-150.3100
0.1560,-150.3083,-150.3100
0.1600,-150.3085,-150.3100
0.1640,-150.3083,-150.3100
0.1680,-150.3085,-150.3100
0.1720,-150.3082,-150.3100
0.1760,-150.3084,-150.3100
0.1800,-150.3082,-150.3100
0.1840,-150.3085,-150.3100
0.1880,-150.3082,-150.3100
0.1920,-150.3084,-150.3100
0.1960,-150.3083,-150.3100
0.2000,-150.3085,-150.3100
0.2040,-150.3083,-150.3100
0.2080,-150.3085,-150.3100
0.2120,-150.3083,-150.3100
0.2160,-150.3085,-150.3100
0.2200,-150.3083,-150.3100
0.2240,-150.3085,-150.3100
0.2280,-150.3082,-150.3100
0.2320,-150.3084,-150.3100
0.2360,-150.3082,-150.3100
0.2400,-150.3085,-150.3100
0.2440,-150.3082,-150.3100
0.2480,-150.3085,-150.3100
0.2520,-150.3083,-150.3100
0.2560,-150.3085,-150.3100
0.2600,-150.3082,-150.3100
0.2640,-150.3085,-150.3100
0.2680,-150.3082,-150.3100
0.2720,-150.3085,-150.3100
0.2760,-150.3083,-150.3100
0.2800,-150.3085,-150.3100
0.2840,-150.3083,-150.3100
0.2880,-150.3084,-150.3100
0.2920,-150.3082,-150.3100
0.2960,-150.3085,-150.3100
0.3000,-150.3083,-150.3100
0.3040,-150.3085,-150.3100
0.3080,-150.3082,-150.3100
0.3120,-150.3084,-150.3100
0.3160,-150.3083,-150.3100
0.3200,-150.3085,-150.3100
0.3240,-150.3082,-150.3100
0.3280,-150.3084,-150.3100
0.3320,-150.3082,-150.3100
0.3360,-150.3084,-150.3100
0.3400,-150.3083,-150.3100
0.3440,-150.3085,-150.3100
0.3480,-150.3083,-150.3100
0.3520,-150.3085,-150.3100
0.3560,-150.3083,-150.3100
0.3600,-150.3085,-150.3100
0.3640,-150.3082,-150.3100
0.3680,-150.3084,-150.3100
0.3720,-150.3082,-150.3100
0.3760,-150.3085,-150.3100
0.3800,-150.3082,-150.3100
0.3840,-150.3085,-150.3100
0.3880,-150.3082,-150.3100
0.3920,-150.3085,-150.3100
0.3960,-150.3083,-150.3100
0.4000,-150.3085,-150.3100
0.4040,-150.3082,-150.3100
0.4080,-150.3085,-150.3100
0.4120,-150.3083,-150.3100
0.4160,-150.3085,-150.3100
0.4200,-150.3082,-150.3100
0.4240,-150.3085,-150.3100
0.4280,-150.3083,-150.3100
